dateTime,open,high,low,close
2019-01-01T09:15:59,1516.9,1516.9,1506.35,1507
2019-01-01T09:16:59,1506.35,1507.8,1503,1504.05
2019-01-01T09:17:59,1504.25,1506,1504,1505.5
2019-01-01T09:18:59,1505,1505,1503.1,1504
2019-01-01T09:19:59,1504.95,1504.95,1500.3,1501.2
2019-01-01T09:20:59,1500,1500.95,1498,1498
2019-01-01T09:21:59,1498,1500.9,1498,1500.05
2019-01-01T09:22:59,1500.05,1501.4,1500,1500.95
2019-01-01T09:23:59,1500.95,1500.95,1500,1500.05
2019-01-01T09:24:59,1500.05,1500.95,1499,1500
2019-01-01T09:25:59,1499.2,1500,1499,1499
2019-01-01T09:26:59,1499,1499.95,1498,1498.9
2019-01-01T09:27:59,1498.9,1498.9,1496.4,1498
2019-01-01T09:28:59,1497.05,1499.1,1496.75,1499.1
2019-01-01T09:29:59,1499.1,1499.5,1498.35,1498.35
2019-01-01T09:30:59,1498.55,1499,1498.35,1498.5
2019-01-01T09:31:59,1498.5,1498.5,1497.65,1497.65
2019-01-01T09:32:59,1497.5,1498,1497.1,1497.1
2019-01-01T09:33:59,1497.95,1497.95,1497.15,1497.35
2019-01-01T09:34:59,1497.95,1497.95,1497,1497.75
2019-01-01T09:35:59,1496.9,1497.75,1496.5,1497
2019-01-01T09:36:59,1496.5,1497,1496.5,1496.5
2019-01-01T09:37:59,1496.5,1497.45,1496.45,1496.45
2019-01-01T09:38:59,1497,1497,1495,1495.2
2019-01-01T09:39:59,1495.75,1495.75,1495.2,1495.75
2019-01-01T09:40:59,1495.75,1495.75,1495,1495.7
2019-01-01T09:41:59,1495.15,1495.7,1495,1495.7
2019-01-01T09:42:59,1495.7,1496.45,1495.15,1496.45
2019-01-01T09:43:59,1496.45,1498.15,1496,1498.15
2019-01-01T09:44:59,1498.2,1499.6,1498,1499.5
2019-01-01T09:45:59,1499.75,1501.65,1499.75,1501.4
2019-01-01T09:46:59,1501.2,1504.65,1501,1504
2019-01-01T09:47:59,1504.5,1505.9,1503.85,1505
2019-01-01T09:48:59,1505,1506,1504.3,1504.5
2019-01-01T09:49:59,1504.5,1504.95,1504,1504
2019-01-01T09:50:59,1503.1,1505,1502.85,1504.5
2019-01-01T09:51:59,1504,1504.45,1504,1504.45
2019-01-01T09:52:59,1504.05,1504.7,1504,1504
2019-01-01T09:53:59,1504,1505,1504,1504.5
2019-01-01T09:54:59,1504.5,1505.2,1504.05,1504.5
2019-01-01T09:55:59,1504.5,1505,1501.25,1502.9
2019-01-01T09:56:59,1502.9,1502.9,1500.8,1502.05
2019-01-01T09:57:59,1501.95,1503.9,1501.5,1503.9
2019-01-01T09:58:59,1503.9,1503.95,1501.6,1502
2019-01-01T09:59:59,1502,1502,1499.9,1500
2019-01-01T10:00:59,1499.8,1500,1498.7,1499
2019-01-01T10:01:59,1498.2,1498.2,1496.5,1496.6
2019-01-01T10:02:59,1496.6,1497.45,1496,1496.9
2019-01-01T10:03:59,1496.9,1496.9,1496.05,1496.9
2019-01-01T10:04:59,1496.9,1496.9,1496.05,1496.3
2019-01-01T10:05:59,1496.3,1496.5,1496.1,1496.1
2019-01-01T10:06:59,1496,1496.1,1495.5,1495.5
2019-01-01T10:07:59,1495.55,1495.65,1494,1494.55
2019-01-01T10:08:59,1494.55,1496.85,1494.55,1496.85
2019-01-01T10:09:59,1496.85,1496.85,1496.3,1496.3
2019-01-01T10:10:59,1496.3,1496.65,1495,1495.05
2019-01-01T10:11:59,1495.05,1496,1494.6,1496
2019-01-01T10:12:59,1496,1496.95,1495.5,1496.55
2019-01-01T10:13:59,1497.15,1498.45,1496.55,1498.45
2019-01-01T10:14:59,1498.45,1498.45,1497,1497.3
2019-01-01T10:15:59,1497.3,1497.4,1495,1495.5
2019-01-01T10:16:59,1495.5,1496.9,1495,1496.9
2019-01-01T10:17:59,1496.9,1497,1496,1496.5
2019-01-01T10:18:59,1496.95,1496.95,1494.4,1494.4
2019-01-01T10:19:59,1494.85,1495.6,1494.35,1494.6
2019-01-01T10:20:59,1494.6,1495.4,1493,1493.45
